Donor_Raw,Egypt,France,India,Indonesia,Iran,Mexico,Other,Peru,Turkey,United Kingdom,United States of America
Rogers Fund,14866,48,160,64,4680,13,1091,93,115,115,658
Edward S. Harkness Gift,3183,0,0,0,0,0,0,0,0,0,0
The Crosby Brown Collection,42,232,154,52,46,114,1747,32,49,80,312
Gift of Helen Miller Gould,2545,0,0,0,1,0,8,0,0,0,0
Rockefeller Memorial Collection,0,0,1,37,0,203,917,419,0,0,89
"Purchase, Edward S. Harkness Gift",1459,0,0,0,0,0,0,0,0,0,0
Gift of J. Pierpont Morgan,635,333,6,0,11,0,399,0,11,9,1
Theodore M. Davis Collection,945,1,30,0,47,0,28,0,17,0,0
The Cloisters Collection,2,565,0,0,0,0,422,0,0,38,0
Gift of George F. Baker,927,0,0,0,6,0,8,0,0,0,0